Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,5.600000,6.000000,5.500000,5.850000,5.850000,552516
2020-01-02,5.700000,5.950000,5.700000,5.950000,5.950000,311293
2020-01-03,5.950000,6.000000,5.800000,5.850000,5.850000,218211
2020-01-06,5.650000,5.900000,5.550000,5.700000,5.700000,374079
2020-01-07,5.700000,5.950000,5.700000,5.850000,5.850000,246005
2020-01-08,5.950000,5.950000,5.700000,5.850000,5.850000,203005
2020-01-09,5.850000,5.950000,5.750000,5.850000,5.850000,210734
2020-01-10,5.800000,5.900000,5.800000,5.850000,5.850000,151337
2020-01-13,5.800000,5.900000,5.800000,5.800000,5.800000,83111
2020-01-14,5.800000,5.850000,5.700000,5.700000,5.700000,96900
2020-01-15,5.650000,5.800000,5.650000,5.750000,5.750000,88336
2020-01-16,5.800000,5.900000,5.700000,5.750000,5.750000,187530
2020-01-17,5.750000,5.800000,5.650000,5.700000,5.700000,248705
2020-01-20,5.800000,5.800000,5.700000,5.750000,5.750000,106192
2020-01-21,5.750000,5.800000,5.700000,5.700000,5.700000,68713
2020-01-22,5.700000,5.800000,5.650000,5.700000,5.700000,143165
2020-01-23,5.700000,5.800000,5.700000,5.700000,5.700000,99928
2020-01-24,5.800000,5.800000,5.700000,5.750000,5.750000,93159
2020-01-27,5.800000,5.800000,5.700000,5.700000,5.700000,60549
2020-01-28,5.700000,5.800000,5.600000,5.650000,5.650000,139204
2020-01-29,5.650000,5.800000,5.650000,5.700000,5.700000,94921
2020-01-30,5.700000,5.750000,5.650000,5.650000,5.650000,64487
2020-01-31,5.650000,5.800000,5.550000,5.650000,5.650000,174968
2020-02-03,5.550000,5.650000,5.450000,5.550000,5.550000,93006
2020-02-04,5.600000,5.700000,5.500000,5.550000,5.550000,39923
2020-02-05,5.650000,5.700000,5.500000,5.650000,5.650000,141516
2020-02-06,5.750000,5.750000,5.600000,5.600000,5.600000,58604
2020-02-07,5.600000,5.700000,5.550000,5.600000,5.600000,55727
2020-02-10,5.700000,5.750000,5.450000,5.600000,5.600000,374738
2020-02-11,5.750000,6.100000,5.650000,5.700000,5.700000,429379
2020-02-12,5.800000,5.800000,5.300000,5.400000,5.400000,235459
2020-02-13,5.450000,5.450000,5.300000,5.350000,5.350000,192273
2020-02-14,5.400000,5.450000,5.050000,5.150000,5.150000,122082
2020-02-17,5.450000,5.450000,4.800000,4.850000,4.850000,267478
2020-02-18,4.850000,4.850000,4.400000,4.500000,4.500000,344928
2020-02-19,4.500000,4.500000,4.250000,4.250000,4.250000,319369
2020-02-20,4.250000,4.400000,4.100000,4.150000,4.150000,272993
2020-02-24,4.200000,4.200000,4.050000,4.100000,4.100000,220826
2020-02-25,4.150000,4.150000,4.000000,4.000000,4.000000,160481
2020-02-26,4.050000,4.100000,3.950000,4.000000,4.000000,250444
2020-02-27,4.050000,4.100000,3.900000,4.000000,4.000000,131061
2020-02-28,3.950000,4.000000,3.400000,3.650000,3.650000,346986
2020-03-02,3.750000,4.150000,3.750000,3.900000,3.900000,266383
2020-03-03,4.000000,4.000000,3.750000,3.900000,3.900000,67652
2020-03-04,3.950000,3.950000,3.150000,3.600000,3.600000,163419
2020-03-05,3.600000,3.750000,3.500000,3.500000,3.500000,234669
2020-03-06,3.500000,3.500000,3.000000,3.150000,3.150000,343912
2020-03-09,3.400000,3.450000,3.100000,3.250000,3.250000,617695
2020-03-11,3.400000,3.550000,3.150000,3.550000,3.550000,276778
2020-03-12,3.750000,3.750000,3.300000,3.450000,3.450000,417433
2020-03-13,3.400000,3.750000,3.150000,3.450000,3.450000,352914
2020-03-16,3.600000,3.750000,3.350000,3.700000,3.700000,412208
2020-03-17,3.700000,3.850000,3.600000,3.650000,3.650000,129414
2020-03-18,3.900000,3.900000,3.300000,3.350000,3.350000,450020
